service_id,date,exception_type
20220522_MTWTF--_1,20240205,1
20220522_MTWTF--_2,20240205,1
20220522_MTWTF--_3,20240205,1
20230820_MTWTF--_42,20240205,1
20230821_MTWTF--_48,20240205,1
20230821_MTWTF--_49,20240205,1
20240101_M-W-F--_58,20240205,1
20240101_MT--F--_59,20240205,1
20240101_MT-TF--_60,20240205,1
20240101_MTW-F--_61,20240205,1
20240101_MTWT---_62,20240205,1
20240101_MTWTF--_63,20240205,1
20240101_MTWTF--_99663,20240205,1
20240102_M-W-F--_95,20240205,1
20240105_MTWTF--_66,20240205,1
20240105_MTWTF--_67,20240205,1
20240202_M------_9901,20240205,1
20240202_M---F--_9902,20240205,1
20220522_MTWTF--_1,20240206,1
20220522_MTWTF--_2,20240206,1
20220522_MTWTF--_3,20240206,1
20230820_MTWTF--_42,20240206,1
20230821_MTWTF--_48,20240206,1
20230821_MTWTF--_49,20240206,1
20240101_MT--F--_59,20240206,1
20240101_MT-TF--_60,20240206,1
20240101_MTW-F--_61,20240206,1
20240101_MTWT---_62,20240206,1
20240101_MTWTF--_63,20240206,1
20240101_MTWTF--_99663,20240206,1
20240105_MTWTF--_66,20240206,1
20240105_MTWTF--_67,20240206,1
20220522_MTWTF--_1,20240207,1
20220522_MTWTF--_2,20240207,1
20220522_MTWTF--_3,20240207,1
20230820_MTWTF--_42,20240207,1
20230821_MTWTF--_48,20240207,1
20230821_MTWTF--_49,20240207,1
20240101_--W----_56,20240207,1
20240101_--WT---_57,20240207,1
20240101_M-W-F--_58,20240207,1
20240101_MTW-F--_61,20240207,1
20240101_MTWT---_62,20240207,1
20240101_MTWTF--_63,20240207,1
20240101_MTWTF--_99663,20240207,1
20240102_M-W-F--_95,20240207,1
20240105_MTWTF--_66,20240207,1
20240105_MTWTF--_67,20240207,1
20220522_MTWTF--_1,20240208,1
20220522_MTWTF--_2,20240208,1
20220522_MTWTF--_3,20240208,1
20230820_MTWTF--_42,20240208,1
20230821_MTWTF--_48,20240208,1
20230821_MTWTF--_49,20240208,1
20240101_---T---_55,20240208,1
20240101_--WT---_57,20240208,1
20240101_MT-TF--_60,20240208,1
20240101_MTWT---_62,20240208,1
20240101_MTWTF--_63,20240208,1
20240101_MTWTF--_99663,20240208,1
20240102_---T---_94,20240208,1
20240105_MTWTF--_66,20240208,1
20240105_MTWTF--_67,20240208,1
20220522_MTWTF--_1,20240209,1
