route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
ST.3,20230820_MTWTF--_42,525370,Hlemmur,,1,4158_3-F,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525371,Hlemmur,,1,4149_3-A,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525372,Hlemmur,,1,4157_3-E,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525373,Hlemmur,,1,4155_3-C,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525374,Hlemmur,,1,4156_3-D,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525375,Hlemmur,,1,4152_3-B,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525376,Hlemmur,,1,4158_3-F,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525377,Hlemmur,,1,4149_3-A,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525378,Hlemmur,,1,4157_3-E,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525379,Hlemmur,,1,4155_3-C,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525380,Hlemmur,,1,4156_3-D,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525381,Hlemmur,,1,4152_3-B,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525382,Hlemmur,,1,4155_3-C,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525383,Hlemmur,,1,4149_3-A,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525384,Hlemmur,,1,4152_3-B,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525385,Hlemmur,,1,4155_3-C,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525386,Hlemmur,,1,4149_3-A,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525387,Hlemmur,,1,4152_3-B,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525388,Hlemmur,,1,4155_3-C,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525389,Hlemmur,,1,4149_3-A,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525390,Hlemmur,,1,4149_3-A,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525400,Hlemmur,,1,4157_3-E,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525401,Hlemmur,,1,4156_3-D,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525402,Hlemmur,,1,4152_3-B,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525403,Hlemmur,,1,4158_3-F,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525404,Hlemmur,,1,4149_3-A,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525405,Hlemmur,,1,4157_3-E,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525406,Hlemmur,,1,4155_3-C,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525407,Hlemmur,,1,4156_3-D,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525408,Hlemmur,,1,4149_3-A,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525409,Hlemmur,,1,4157_3-E,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525410,Hlemmur,,1,4155_3-C,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525411,Hlemmur,,1,4156_3-D,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525412,Hlemmur,,1,4152_3-B,3_f3_1005602_2_55
